Year,Month,Sales,logSales,c348,s348,c432,s432,Dynamic
2009,11,4654,8.4454823439,0.4257792916,-0.904827052,0.7289686274,-0.684547106,0
2009,12,4761,8.4682130092,0.4927273415,0.8701837547,-0.379779096,0.9250772068,0
2010,1,5127,8.5422759718,-0.994951017,-0.100361715,-0.037690183,-0.999289473,0
2010,2,6300,8.7483049124,0.6565857558,-0.754251381,0.4483832161,0.8938414242,0
2010,3,6580,8.7917900243,0.236498997,0.9716317329,-0.778462302,-0.627691361,0
2010,4,5957,8.6923222776,-0.929776486,-0.368124553,0.9685831611,0.2486898872,0
2010,5,5857,8.6753928061,0.83752804,-0.546394347,-0.984564335,0.175023059,0
2010,6,6195,8.7314977941,-0.037690183,0.9992894726,0.8235325976,-0.567268949,0
2010,7,6183,8.7295588696,-0.793990399,-0.607930298,-0.514439534,0.8575266562,0
2010,8,6288,8.7463983341,0.9548645447,-0.297041582,0.1128563849,-0.993611311,0
2010,9,5971,8.6946696965,-0.309016994,0.9510565163,0.3090169944,0.9510565163,0
2010,10,6123,8.7198074515,-0.597904983,-0.801566985,-0.675332808,-0.737513117,0
2010,11,5604,8.6312359075,0.9996841893,-0.025130095,0.9202318474,0.3913736668,0
2010,12,5522,8.6164953925,-0.556875616,0.8305958992,-0.999684189,0.0251300954,0
2011,1,5976,8.6955067268,-0.356411879,-0.934328942,0.8994052516,-0.437115767,1
2011,2,7295,8.894944461,0.9685831611,0.2486898872,-0.63742399,0.7705132428,1
2011,3,7661,8.9438978025,-0.762442511,0.6470559616,0.2608415063,-0.965381639,1
2011,4,6446,8.7712150624,-0.087851197,-0.996133609,0.1626371652,0.9866859442,1
2011,5,6260,8.7419354641,0.8639234172,0.5036232016,-0.556875616,-0.830595899,1
2011,6,6460,8.7733845968,-0.910105971,0.414375581,0.8509944818,0.52517463,1
2011,7,6348,8.7558950816,0.1873813146,-0.982287251,-0.992114701,-0.125333234,1
2011,8,6438,8.7699732119,0.6936533058,0.7203090249,0.9548645447,-0.297041582,1
2011,9,5951,8.6913145516,-0.988651745,0.1502255891,-0.745941145,0.6660118674,1
2011,10,5710,8.6499743027,0.4483832161,-0.893841424,0.4029064357,-0.915241173,1
2011,11,5530,8.6179430945,0.4707039322,0.8822912264,0.0125660399,0.9999210442,1
