sales,time,month,logsales,obs96,c1,s1,c2,s2,c3,s3,c4,s4,c5,s5,c6,wtgrant
489,97,1,6.19236249,0,0.866025,0.5,0.5,0.866025,1.13e-14,1,-0.5,0.866025,-0.86603,0.5,-1,0
511,98,2,6.23636959,0,0.5,0.866025,-0.5,0.866025,-1,1.67e-14,-0.5,-0.86603,0.5,-0.86603,1,0
612,99,3,6.41673228,0,2.44e-16,1,-1,4.88e-16,6.37e-15,-1,1,-9.8e-16,-2e-14,1,-1,0
623,100,4,6.43454652,0,-0.5,0.866025,-0.5,-0.86603,1,9.82e-16,-0.5,0.866025,-0.5,-0.86603,1,0
726,101,5,6.58755001,0,-0.86603,0.5,0.5,-0.86603,4.41e-15,1,-0.5,-0.86603,0.866025,0.5,-1,0
692,102,6,6.53958596,0,-1,5.63e-15,1,-1.1e-14,-1,9.8e-15,1,-2.3e-14,-1,6.86e-15,1,0
623,103,7,6.43454652,0,-0.86603,-0.5,0.5,0.866025,-1.5e-14,-1,-0.5,0.866025,0.866025,-0.5,-1,0
734,104,8,6.59850903,0,-0.5,-0.86603,-0.5,0.866025,1,7.84e-15,-0.5,-0.86603,-0.5,0.866025,1,0
662,105,9,6.49526556,0,3.19e-15,-1,-1,-6.4e-15,-2.5e-15,1,1,1.27e-14,2.3e-14,-1,-1,0
684,106,10,6.52795792,0,0.5,-0.86603,-0.5,-0.86603,-1,2.94e-15,-0.5,0.866025,0.5,0.866025,1,0
781,107,11,6.66057515,0,0.866025,-0.5,0.5,-0.86603,-8.3e-15,-1,-0.5,-0.86603,-0.86603,-0.5,-1,0
1386,108,12,7.23417718,0,1,-2.2e-15,1,-4.4e-15,1,-1.4e-14,1,-8.8e-15,1,-3.9e-15,1,0
503,109,1,6.22059017,0,0.866025,0.5,0.5,0.866025,1.91e-14,1,-0.5,0.866025,-0.86603,0.5,-1,0
537,110,2,6.28599809,0,0.5,0.866025,-0.5,0.866025,-1,-3.9e-15,-0.5,-0.86603,0.5,-0.86603,1,0
636,111,3,6.45519856,0,4.89e-16,1,-1,9.78e-16,-1.5e-15,-1,1,-2e-15,-2.6e-14,1,-1,0
560,112,4,6.32793678,0,-0.5,0.866025,-0.5,-0.86603,1,-6.9e-15,-0.5,0.866025,-0.5,-0.86603,1,1
607,113,5,6.40852879,0,-0.86603,0.5,0.5,-0.86603,1.22e-14,1,-0.5,-0.86603,0.866025,0.5,-1,1
585,114,6,6.37161185,0,-1,5.88e-15,1,-1.2e-14,-1,1.76e-14,1,-2.4e-14,-1,9.76e-16,1,1
559,115,7,6.32614947,0,-0.86603,-0.5,0.5,0.866025,5.39e-15,-1,-0.5,0.866025,0.866025,-0.5,-1,1
608,116,8,6.41017488,0,-0.5,-0.86603,-0.5,0.866025,1,2.71e-18,-0.5,-0.86603,-0.5,0.866025,1,1
556,117,9,6.32076829,0,-4.2e-15,-1,-1,8.33e-15,5.39e-15,1,1,-1.7e-14,2.89e-14,-1,-1,1
596,118,10,6.39024067,0,0.5,-0.86603,-0.5,-0.86603,-1,1.08e-14,-0.5,0.866025,0.5,0.866025,1,1
665,119,11,6.49978704,0,0.866025,-0.5,0.5,-0.86603,-1.6e-14,-1,-0.5,-0.86603,-0.86603,-0.5,-1,1
1229,120,12,7.11395611,0,1,-9.6e-15,1,-1.9e-14,1,-2.2e-14,1,-3.8e-14,1,1.96e-15,1,1
427,121,1,6.05678401,0,0.866025,0.5,0.5,0.866025,-1.5e-15,1,-0.5,0.866025,-0.86603,0.5,-1,1
450,122,2,6.10924758,0,0.5,0.866025,-0.5,0.866025,-1,3.92e-15,-0.5,-0.86603,0.5,-0.86603,1,1
573,123,3,6.35088572,0,7.84e-15,1,-1,1.57e-14,-9.3e-15,-1,1,-3.1e-14,2.5e-14,1,-1,1
579,124,4,6.36130248,0,-0.5,0.866025,-0.5,-0.86603,1,-1.5e-14,-0.5,0.866025,-0.5,-0.86603,1,1
615,125,5,6.42162227,0,-0.86603,0.5,0.5,-0.86603,2.01e-14,1,-0.5,-0.86603,0.866025,0.5,-1,1
